"BehaviorSpace results (NetLogo 7.0.4)","Lists version 2.0"
"JQIE.nlogox"
"FFFF-to-TTTT"
"08/11/2026 21:58:27:307 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","160"
"[reporter]","[run number]","use-r-seed?","sim-duration","display-ticks","sat-add","average-employee?","advance-notice?","minimum-hours?","schedule-swaps?","better-pay?","[step]","[0]","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]"
"KPI-EPI-lists company 0","1","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","27174","total-customers-helped","22649","total-sales-closed","10341","total-employee-revenues","1670832","ATS-for-employee-sales","161.57354221061792","total-non-employee-revenues","52136","ATS-for-non-employee-sales","81.84615384615384","total-gross-revenues","1722968","total-labor-costs","163482.14999999994","cogs","852669","total-profits","870298.6500000001","gross-margin","50.5","EPIs:","","total-earnings","32696.430000000004","total-hours-scheduled","2188.3000000000006","total-hours-worked","2179.7620000000006","total-idle-time","23761.2","total-misc-task-time","47106.8","total-productivity","48815.2","total-rest-time","16771.2","total-revenues","334166.4","total-tardy-time","1277.2","total-sales-closed","2068.2"
"KPI-EPI-lists company 1","1","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","26907","total-customers-helped","15077","total-sales-closed","6734","total-employee-revenues","943868","ATS-for-employee-sales","140.16453816453816","total-non-employee-revenues","131998","ATS-for-non-employee-sales","81.83384996900186","total-gross-revenues","1075866","total-labor-costs","120434.5800000001","cogs","550781","total-profits","525085.0200000001","gross-margin","48.8","EPIs:","","total-earnings","24086.91600000001","total-hours-scheduled","1810.4000000000008","total-hours-worked","1784.2160000000008","total-idle-time","18353.8","total-misc-task-time","25786","total-productivity","51761.6","total-rest-time","14599.4","total-revenues","188773.6","total-tardy-time","5071.4","total-sales-closed","1346.8"
"KPI-EPI-lists company 0","2","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","26863","total-customers-helped","22698","total-sales-closed","10127","total-employee-revenues","1644554","ATS-for-employee-sales","162.39300878838748","total-non-employee-revenues","48144","ATS-for-non-employee-sales","83.29411764705883","total-gross-revenues","1692698","total-labor-costs","163731.45","cogs","840811","total-profits","851887.3500000002","gross-margin","50.3","EPIs:","","total-earnings","32746.29","total-hours-scheduled","2189.8","total-hours-worked","2183.086","total-idle-time","24123.6","total-misc-task-time","47973.6","total-productivity","47831","total-rest-time","16954.4","total-revenues","328910.8","total-tardy-time","1078.4","total-sales-closed","2025.4"
"KPI-EPI-lists company 1","2","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","26918","total-customers-helped","15470","total-sales-closed","6883","total-employee-revenues","976222","ATS-for-employee-sales","141.83088769431933","total-non-employee-revenues","132971","ATS-for-non-employee-sales","82.59068322981366","total-gross-revenues","1109193","total-labor-costs","120939.88499999995","cogs","564617","total-profits","544575.9149999998","gross-margin","49.1","EPIs:","","total-earnings","24187.977000000014","total-hours-scheduled","1816.5400000000002","total-hours-worked","1791.7020000000005","total-idle-time","18018.2","total-misc-task-time","26594.2","total-productivity","51713.6","total-rest-time","14565.8","total-revenues","195244.4","total-tardy-time","4338.4","total-sales-closed","1376.6"
"KPI-EPI-lists company 0","3","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","27047","total-customers-helped","22493","total-sales-closed","10146","total-employee-revenues","1638650","ATS-for-employee-sales","161.5069978316578","total-non-employee-revenues","51454","ATS-for-non-employee-sales","82.59069020866774","total-gross-revenues","1690104","total-labor-costs","163127.25000000003","cogs","839169","total-profits","850935.1499999999","gross-margin","50.3","EPIs:","","total-earnings","32625.450000000004","total-hours-scheduled","2183.1800000000007","total-hours-worked","2175.0300000000007","total-idle-time","23663.6","total-misc-task-time","46812","total-productivity","48905.4","total-rest-time","16740.2","total-revenues","327730","total-tardy-time","1177.2","total-sales-closed","2029.2"
"KPI-EPI-lists company 1","3","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","27316","total-customers-helped","15341","total-sales-closed","6944","total-employee-revenues","974304","ATS-for-employee-sales","140.30875576036865","total-non-employee-revenues","140514","ATS-for-non-employee-sales","82.26814988290398","total-gross-revenues","1114818","total-labor-costs","122960.15999999989","cogs","568887","total-profits","545930.64","gross-margin","49","EPIs:","","total-earnings","24592.032","total-hours-scheduled","1847.3799999999999","total-hours-worked","1821.632","total-idle-time","18311.8","total-misc-task-time","26193","total-productivity","53127","total-rest-time","14978.2","total-revenues","194860.8","total-tardy-time","4627.4","total-sales-closed","1388.8"
"KPI-EPI-lists company 0","4","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","27068","total-customers-helped","22630","total-sales-closed","10186","total-employee-revenues","1645269","ATS-for-employee-sales","161.5225800117809","total-non-employee-revenues","50288","ATS-for-non-employee-sales","82.84678747940691","total-gross-revenues","1695557","total-labor-costs","164072.69999999992","cogs","842296","total-profits","853261.5000000001","gross-margin","50.3","EPIs:","","total-earnings","32814.54","total-hours-scheduled","2195.6200000000003","total-hours-worked","2187.6360000000004","total-idle-time","23799","total-misc-task-time","47521.2","total-productivity","48742.4","total-rest-time","16879.4","total-revenues","329053.8","total-tardy-time","1133.4","total-sales-closed","2037.2"
"KPI-EPI-lists company 1","4","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","27065","total-customers-helped","15621","total-sales-closed","7083","total-employee-revenues","1005560","ATS-for-employee-sales","141.9680926161231","total-non-employee-revenues","138507","ATS-for-non-employee-sales","82.3955978584176","total-gross-revenues","1144067","total-labor-costs","121242.15000000004","cogs","578869","total-profits","565198.0499999997","gross-margin","49.4","EPIs:","","total-earnings","24248.430000000015","total-hours-scheduled","1823.4800000000002","total-hours-worked","1796.1800000000003","total-idle-time","18049.6","total-misc-task-time","25988.8","total-productivity","52435","total-rest-time","14634.4","total-revenues","201112","total-tardy-time","4438.2","total-sales-closed","1416.6"
"KPI-EPI-lists company 0","5","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","27055","total-customers-helped","22420","total-sales-closed","10134","total-employee-revenues","1633017","ATS-for-employee-sales","161.14239194789818","total-non-employee-revenues","52795","ATS-for-non-employee-sales","83.14173228346456","total-gross-revenues","1685812","total-labor-costs","162552.29999999996","cogs","836877","total-profits","848934.9","gross-margin","50.4","EPIs:","","total-earnings","32510.460000000003","total-hours-scheduled","2175.6999999999994","total-hours-worked","2167.3639999999987","total-idle-time","23519.2","total-misc-task-time","46557.4","total-productivity","48841.4","total-rest-time","16645.8","total-revenues","326603.4","total-tardy-time","1227.6","total-sales-closed","2026.8"
"KPI-EPI-lists company 1","5","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","26996","total-customers-helped","15514","total-sales-closed","6994","total-employee-revenues","988270","ATS-for-employee-sales","141.3025450386045","total-non-employee-revenues","130038","ATS-for-non-employee-sales","83.03831417624521","total-gross-revenues","1118308","total-labor-costs","121259.43000000011","cogs","568583","total-profits","549725.3699999999","gross-margin","49.2","EPIs:","","total-earnings","24251.886000000002","total-hours-scheduled","1823.14","total-hours-worked","1796.4359999999997","total-idle-time","18007.8","total-misc-task-time","26221.2","total-productivity","52222","total-rest-time","14642.6","total-revenues","197654","total-tardy-time","4783.6","total-sales-closed","1398.8"
