"BehaviorSpace results (NetLogo 7.0.4)","Lists version 2.0"
"JQIE.nlogox"
"Sat-add-sweep"
"08/09/2026 22:30:03:956 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","160"
"[reporter]","[run number]","use-r-seed?","sim-duration","display-ticks","average-employee?","sat-add","advance-notice?","minimum-hours?","schedule-swaps?","better-pay?","[step]","[0]","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]"
"KPI-EPI-lists company 0","1","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","26854","total-customers-helped","22227","total-sales-closed","10012","total-employee-revenues","1612189","ATS-for-employee-sales","161.02566919696363","total-non-employee-revenues","52242","ATS-for-non-employee-sales","82.79239302694137","total-gross-revenues","1664431","total-labor-costs","162427.05000000002","cogs","828199","total-profits","836231.5499999999","gross-margin","50.2","EPIs:","","total-earnings","32485.410000000003","total-hours-scheduled","2173.6599999999994","total-hours-worked","2165.694","total-idle-time","23680.6","total-misc-task-time","46729.6","total-productivity","48508","total-rest-time","16628.6","total-revenues","322437.8","total-tardy-time","1215.8","total-sales-closed","2002.4"
"KPI-EPI-lists company 1","1","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","27005","total-customers-helped","19360","total-sales-closed","8695","total-employee-revenues","1357766","ATS-for-employee-sales","156.15480161012076","total-non-employee-revenues","92819","ATS-for-non-employee-sales","83.02236135957067","total-gross-revenues","1450585","total-labor-costs","121045.72499999999","cogs","701280","total-profits","749305.2749999996","gross-margin","51.7","EPIs:","","total-earnings","24209.145","total-hours-scheduled","1803.1199999999997","total-hours-worked","1793.2699999999998","total-idle-time","17039.8","total-misc-task-time","32452.6","total-productivity","48016.6","total-rest-time","13832.2","total-revenues","271553.2","total-tardy-time","1865.4","total-sales-closed","1739"
"KPI-EPI-lists company 0","2","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","26982","total-customers-helped","22657","total-sales-closed","10182","total-employee-revenues","1647306","ATS-for-employee-sales","161.78609310548026","total-non-employee-revenues","48705","ATS-for-non-employee-sales","82.69100169779287","total-gross-revenues","1696011","total-labor-costs","164677.65000000005","cogs","843082","total-profits","852928.9500000001","gross-margin","50.3","EPIs:","","total-earnings","32935.530000000006","total-hours-scheduled","2202.0800000000004","total-hours-worked","2195.7020000000007","total-idle-time","23950.6","total-misc-task-time","48101.8","total-productivity","48502.8","total-rest-time","16976.2","total-revenues","329461.2","total-tardy-time","972.4","total-sales-closed","2036.4"
"KPI-EPI-lists company 1","2","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","27128","total-customers-helped","19604","total-sales-closed","8762","total-employee-revenues","1373710","ATS-for-employee-sales","156.78041543026706","total-non-employee-revenues","86979","ATS-for-non-employee-sales","81.74718045112782","total-gross-revenues","1460689","total-labor-costs","122102.77499999995","cogs","706378","total-profits","754310.625","gross-margin","51.6","EPIs:","","total-earnings","24420.555000000004","total-hours-scheduled","1819.2","total-hours-worked","1808.9299999999998","total-idle-time","17259.2","total-misc-task-time","32720.2","total-productivity","48269.2","total-rest-time","14102","total-revenues","274742","total-tardy-time","1800","total-sales-closed","1752.4"
"KPI-EPI-lists company 0","3","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","27344","total-customers-helped","22881","total-sales-closed","10397","total-employee-revenues","1691286","ATS-for-employee-sales","162.67057805136096","total-non-employee-revenues","51352","ATS-for-non-employee-sales","82.95961227786754","total-gross-revenues","1742638","total-labor-costs","164053.95000000004","cogs","861109","total-profits","881528.8499999997","gross-margin","50.6","EPIs:","","total-earnings","32810.79000000001","total-hours-scheduled","2193.6799999999994","total-hours-worked","2187.3859999999995","total-idle-time","23648","total-misc-task-time","47756","total-productivity","48566.4","total-rest-time","16931.6","total-revenues","338257.2","total-tardy-time","960.8","total-sales-closed","2079.4"
"KPI-EPI-lists company 1","3","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","26805","total-customers-helped","19904","total-sales-closed","8939","total-employee-revenues","1413123","ATS-for-employee-sales","158.0851325651639","total-non-employee-revenues","82273","ATS-for-non-employee-sales","83.02018163471242","total-gross-revenues","1495396","total-labor-costs","122698.25999999992","cogs","720857","total-profits","774539.3399999999","gross-margin","51.8","EPIs:","","total-earnings","24539.651999999995","total-hours-scheduled","1826.2","total-hours-worked","1817.752","total-idle-time","17514","total-misc-task-time","34289.2","total-productivity","47156.6","total-rest-time","14101","total-revenues","282624.6","total-tardy-time","1595","total-sales-closed","1787.8"
"KPI-EPI-lists company 0","4","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","27184","total-customers-helped","22907","total-sales-closed","10388","total-employee-revenues","1688770","ATS-for-employee-sales","162.5693107431652","total-non-employee-revenues","51856","ATS-for-non-employee-sales","82.7049441786284","total-gross-revenues","1740626","total-labor-costs","163253.84999999998","cogs","859504","total-profits","881121.7499999997","gross-margin","50.6","EPIs:","","total-earnings","32650.770000000008","total-hours-scheduled","2183.54","total-hours-worked","2176.718","total-idle-time","23892.8","total-misc-task-time","47228.8","total-productivity","48434.2","total-rest-time","16844.4","total-revenues","337754","total-tardy-time","990.2","total-sales-closed","2077.6"
"KPI-EPI-lists company 1","4","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","26925","total-customers-helped","19879","total-sales-closed","8875","total-employee-revenues","1392225","ATS-for-employee-sales","156.87042253521128","total-non-employee-revenues","82185","ATS-for-non-employee-sales","82.43229689067202","total-gross-revenues","1474410","total-labor-costs","123521.48999999992","cogs","713285","total-profits","761124.5099999994","gross-margin","51.6","EPIs:","","total-earnings","24704.29800000001","total-hours-scheduled","1840.6000000000008","total-hours-worked","1829.948000000001","total-idle-time","17741","total-misc-task-time","34165.2","total-productivity","47755.6","total-rest-time","14172.4","total-revenues","278445","total-tardy-time","1685.8","total-sales-closed","1775"
"KPI-EPI-lists company 0","5","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","27137","total-customers-helped","22859","total-sales-closed","10448","total-employee-revenues","1694527","ATS-for-employee-sales","162.18673430321593","total-non-employee-revenues","49400","ATS-for-non-employee-sales","83.58714043993231","total-gross-revenues","1743927","total-labor-costs","165209.55000000005","cogs","862780","total-profits","881146.6500000004","gross-margin","50.5","EPIs:","","total-earnings","33041.91","total-hours-scheduled","2210.2400000000002","total-hours-worked","2202.7940000000003","total-idle-time","24272.6","total-misc-task-time","48330.8","total-productivity","48387.2","total-rest-time","17121.2","total-revenues","338905.4","total-tardy-time","1117.8","total-sales-closed","2089.6"
"KPI-EPI-lists company 1","5","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","26867","total-customers-helped","19673","total-sales-closed","8864","total-employee-revenues","1387820","ATS-for-employee-sales","156.56814079422384","total-non-employee-revenues","84006","ATS-for-non-employee-sales","82.11730205278593","total-gross-revenues","1471826","total-labor-costs","122462.82000000002","cogs","711193","total-profits","760632.7799999997","gross-margin","51.7","EPIs:","","total-earnings","24492.564000000002","total-hours-scheduled","1823.7799999999995","total-hours-worked","1814.2639999999997","total-idle-time","17704","total-misc-task-time","33138.4","total-productivity","47892","total-rest-time","14094","total-revenues","277564","total-tardy-time","1772.6","total-sales-closed","1772.8"
